Comment,Label
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",negative
The song that Suhaib hates 🙂,negative
Who's here in 2025😂,neutral
Anyone in 2024 ?,neutral
"Odessa,Ukraine is hete",neutral
🏔 Today 🌍 corresponding to 🌍 Happy 🌍 Eid 🌍🦜🎤❤🏔❤,positive
We will not see other masterpieces like these again ❤,positive
,neutral
,neutral
,neutral
,neutral
Their brood will not only be ugly and genetically inferior but are more likely to end up in prison with the rest of them.,negative
"""the better adele""",positive
This April,neutral
Intro too long,negative
A legend,positive
No ones  here.... It's  all a dream.,negative
". . . for those who just now understood the word ""move-on"".",neutral
,neutral
Will everything pass one day?,neutral
Is there anyone besides music who understands you?,neutral
Who is there in 2024?,neutral
"I remember when this song just came out. Autumn, rains, Adele - Hello..
8 years have already passed, 8 years of life have passed unnoticed😢",positive
Damn I cried so hard singing her songs during my breakup....,negative
Adele ❤ I love you ❤,positive
It’s inexplicable how much this woman sings! 👏🏼💭🖊️,positive
Who is here in 2024,neutral
Very good!!,positive
Me,neutral
20.4.2024,neutral
I’m watching from Russia.❤like.,positive
May 2024 ????? 😭❤️❤️❤️,positive
"Let's Go To 7 BILLION

Adele    deserve it",positive
Life was so different when this came out..I wish that one day Adele listens to my music and we make a hit song together. God bless everyone going through it like me. Better days are coming....🍀,positive
"See
Tuh-tuh
See
See
Tuh-tuh
See
Powerful, Deep, Pure",positive
wow,positive
The best 😮,positive
Adele with love from Russia❤,positive
Good song,positive
2024✌🏻😁,neutral
"It's been 8 years I'm listening this song, I find million voice Queena but no one can replace Adele, hello from the outside🥺",positive
I'm here. 👋 Still listening to all the greats. Adele has a beautiful voice.,positive
SIDDONIE MY BIRTHDAY GIRLS📸🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑🔈🔉🔊📢🥳🥳🥳🥳🥳🥳🥳🥳🥳💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💋💋💋💋💋💋💋💋💋💋💋💋💋💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌,positive
"Sparta, no big deal in hafur ☝️🦾🦍🏴‍☠️🇵🇱",neutral
,neutral
Lindaaaaaaa❤😅,positive
❤ If you still here in 2024 you are a legend😊🎉🎉🎉🎉🎉,positive
Who types “Hello” to check internet is working or not ? And then land on this video?,neutral
Kindly sasaki,neutral
"Hello from the other side... 
Atleast i can say that i've tried! ♪",positive
Anyone 2025? 😂,positive
It's me,neutral
https://youtu.be/U0Ss9g1FMsY?si=BjHcAEKaGqYVH3Hb,neutral
best song ever without even listening to it,positive
April 2024 who's here with me 😂🌹🥳😂❤❤❤,positive
wow verry nice song,positive
I cried...,negative
Love you,positive
I love you adele❤,positive
,neutral
ADEL FROM MY MOVIE  ORSEN WELLS,neutral
16 YRS HELLO FROM THE OTHERSIDE JEWS GOVERNMENTS,negative
Sister-in-law ❤😍,positive
"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝",positive
"2015: try not to sing
2024: try not to cry",neutral
bro just start singing,positive
Who else but me 2025??😉😅,positive
Tbt to when this music video dropped and I legit fell in love with Adele and her voice for a bit,positive
I love you Adel,positive
Consecrated Winderson Nunes forever☺☺,positive
,neutral
Hello,neutral
Who’s here on April 18th 2024??,neutral
"I will be married on April 18, 2024 ❤❤",positive
Sarah for kitchen,neutral
jungka on his left side for motor & macho dancer,positive
the virgin,neutral
love,positive
"What  !!         Billion viewers


Can't believe that 😂",positive
Attendance April 2024,neutral
9433 am still here waiting for you.am still stuck in the old town never managed to get out.if you ever come visiting don't forget about me,negative
Who’s here in April 2024????,neutral
"I listen to and love many different genres and time periods. Don't completely shun or disregard music just because it's popular or mainstream. I remember the first time I heard rolling in the deep and loved it instantly. Her voice is incredible. Usually I don't listen to much mainstream pop but am no longer embarrassed to admit I like a song. This and her breakout hit are my favorite. Amazing, powerful voice. Emotions that are brought up are relatable. One of my favorite things about her is that there is no denying her talent even though she doesn't look like Beyonce. They had no choice but to let her be her.",positive
More Adele,positive
Adele is a true mud shark,negative
"Who is also here in 2024? 
Also who just remembered this song and wanted to hear it again 😢",positive
"...of family RIP❤....
DNH do get hold of me!.... Answer your question no I am not okay 😭",negative
Who’s here in 2024 me,neutral
nostalgia is a powerful drug.,positive
2024 we deh deh,neutral
"Fuuuuu*k 8 years 
Time is going extremely  fast",negative
17 th April?,neutral
,neutral
April 2024 ❤❤❤,positive
"The choices are NOT always easy, I have to make decisions and sometimes it even hurts, it allows me to move forward with good thinking",positive
Have we all made mistakes? And sometimes hard to bear?? I'm here life continues let's learn from our mistakes To move forward (this is my motto good evening everyone) and good reflection,positive
"Listening at April 18th❤❤

You??? ❤",positive
I can't get enough of listening to this song,positive
Am here and I will be here forever 💗,positive
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",negative
Idk why somebody ask who is here in 2024. Everybody are hereeee,positive
,neutral
"Wheres this little half black half white baby between you two ?

Then it's not real.",negative
"This song, fans, reminds me of a person looking at me, me at him, me sitting in a chair, I will never forget our looks ❤❤",positive
"Hi godmother, you're in a good truck ❤",positive
March 2024.,neutral
March 2024.,neutral
Hits different when you’ve always known this song but now you’re on the other side and can relate to every lyric,positive
There's an intro.,neutral
I can see my younger self when I'm listening to this masterpiece which is her intended meaning given to this songgg 🙂💖🤍💎,positive
Who is here in 2025?,neutral
You make me feel,neutral
I’m a hardened man but yet I luv your music your amazing,positive
"Where are the Brazilian comments, what do you mean Brazil...?",neutral
Ckcfw1,neutral
"Great singer, very attractive all around!! ""Hello from the other side""",positive
April 2024,neutral
"Mindy Lee Conn was my  ride or die
Not that anyone else noticed",positive
Then & now... aún alive @in't such Golden House...outside,neutral
Woody is.,neutral
"... sorry, can you hear me Now!!!",positive
Best song forever❤,positive
"April 2024, anyone?",neutral
ADELE.✨NO 1 Diva✨😁👍✨,positive
ADELE SINGER THE BEST VOICE UNSURPASSED SINGER ❤J-FLA,positive
But a smart phone is better,positive
That flip phone reminds me of a blue razor phone I never had,neutral
Am I the only one who's still here in 2024?,neutral
"LYRICS🎤

Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side

I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)

Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",negative
"But it clearly does not take you apart anymore, so bye.",negative
,neutral
"There was once a Roman Empire. It was captured by the Visigoths. It was divided into Israel, Italy, Denmark, Iceland and some Germans. Israel lied about God and Satan. Hitler wanted to take back Rome. It’s just that no one has compared Israel and Italy before.",negative
"I used to be a real fan but after this masterpiece, I’m a whole air conditioner.",positive
Views from a window awesome thanks,positive
"In the year 2024, it's still TOP lol, diva, I've never gone out of style!!!",positive
Who is here still feel the vibe in 15 April 2024,neutral
Too much show. ❤,positive
,neutral
2024🎉,positive
3:18 3:20 🎉😢😅😊,positive
Can you hear me now?!,neutral
Hi,neutral
❤❤❤❤ when i 😢😢😢😢😢was a kid,positive
"Thank you, thank you, Miss ❤Miss Adele ❤ We will save and watch it together forever hahahahahaha 🌇",positive
I Song until my throat explode won't let go of my microphone 🎤🎼🔊~~~%  Even if I fail down God protecting you J-FLA I appreciate 🙏 Always thinking we God bless 🙏 ❤,positive
"Look at this, I'm in a daze because of you. Please think about it 🙏 🍎🍎🍎 Miss Adele, please stay healthy. Okay.",positive
Hi 👋 I can not bear to lose you ❤,positive
Present,neutral
i miss this era,positive
"Hi,tanks my dear. ❤.Iran.",positive
s,neutral
I am great song,positive
My girl 😊,positive
I'm here in 2024,neutral
I was 14 when this was released 🥹,neutral
2025 👀😂,positive
Reva hello there,neutral
Listeners Adele song in April 2024?,neutral
You will find true love in 2024,positive
2024❤,positive
Thank you Adele 💖,positive
I’m here after finding out this was the fastest video to reach a billion views.,positive
"She is amazing in this video. everything..her face, act, outfit...but just one thing, the man who is acting her ex isn't a good match with her. I'm not a racist, though.",positive
"Adelle: hello
Beyonce: Halo
Both are just the best❤",positive
The earth is flat,negative
Who in 2025 ?,neutral
Ohhh yeaa its 15.04.24,neutral
I'm trying to keep my mouth shut😮,neutral
If we run this fight over a million times I bet you I win every time so just please stop talking,negative
If there's something you need to say say it if not shut your fucking lid,negative
"The lyrics include beautiful, powerful vocals that give you goosebumps every time you listen to them",positive
Anyone 2024,neutral
Hello can you here me it's Ben here April 2024,neutral
She's BACK😢,positive
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",negative
"12:58PM MON,Apr 15 2024",neutral
Satan's flute singing in the earth    ❤❤❤  be cerfull .,negative
Anyone listening in 2024?,neutral
Parabens❤,positive
I LOVEE ADELEEEEE,positive
HELLO =❤,positive
Love her! She's r a real amazing woman!,positive
"SALU2 ALEDE, I LIKE YOUR GOOD VOICE,, SALU2 FROM THE BRONX, MEXICAN TO THE 💯,, GOD bless you always....",positive
This song is very cool,positive
💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯👌👏👏👏👏👏👏 listening in 2024,positive
Who else randomly searched up hello and got this?,neutral
"I heard it when I was about 17 years old ❤. Now I'm 24, it makes me feel a lump in my throat, I love this song like a sunset",positive
so good,positive
"I didn't understand, does she lisp or not? Well, her voice sounds like it",neutral
His voice is not a sound,negative
its been 8 yeas now...,neutral
her best song,positive
"Nekskwone s❤❤ndmskskkesk🎉🎉🎉nndjdkkdkkkdks
Mdmekme skkdkenskmekneekjjdjjeijebjdkeke njekdkkek
Mdmd..,,",neutral
The Memes,neutral
It's a good song,positive
And a beautiful country girl to go hide on the top floor of the barn and umm 🤔😳,positive
That house makes me want to eat a meal like Twister 🌀 at Meg's house Giant steak 🥩 homemade mashed potatoes 🥔 chunky style with lots of gravy 🤤,positive
love,positive
love,positive
,neutral
Plz stop asking who is listening this year. We never stop listening to classics,positive
Its me 😢,negative
It's one of the best songs,positive
"April 2024, who is visiting?? 😂😂❤",positive
Anyone 2024?,neutral
Masterpiece ❤💫,positive
"It's 2025
Who's here?!",neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
My favorite singer ❤ greetings from Mexico 🇲🇽🌽🌮🎉🎉🎉,positive
Why Adele crossed the road ❤️,positive
Checking in another med procedure (self help) 😢,negative
,neutral
the best,positive
I thought I was just on Google saying hello,neutral
This song pierces the heart ❤️ 🎉🎉🎉,positive
Who's here in 2025?,neutral
https://www.youtube.com/channel/UCXV5-3bVjIDy0cdRk6GI4BA,neutral
There is so much I’ve learned about in this world and it’s so hard and so sad! But I’m not going anywhere without a good reason to be happy with it all and I’m just so thankful to you all for your support for this whole process of healing me to know that I am in my life and I was blessed and born in the United States of America!!!,positive
I believe in Freedom of speech and the Constitution of America as well! Civil rights are a fundamental right of freedom and liberty for everyone!,positive
But come on with it I’m not hiding anymore!,positive
I didn’t know this! I’ve been hidden away for years now! Death threats,negative
Of course Eve Sheppeard has been the most successful woman in history for her own right to vote for a president since the beginning,positive
A masterpiece,positive
Hello it me 🫣😦,neutral
"i know this is isnt the one but cmon its adeles top song so ima need u ppl to show some love. cause
Your right Mahito, im you.",positive
Hello,neutral
This song is the besssssssst,positive
"Who is from Surabaya, Indonesia.",neutral
Fastest billion views in the world😮,positive
,neutral
"Lovely song still in 2024 
Thanks #Elliott_Lockwood
Whenever anyone likes this comment i will remember this Masterpiece and the suggestion of my friend. 🥰",positive
That woman is a song bird frl,positive
Hello It's me,neutral
I came here to subscribe,positive
True,positive
"You are so loved mom
I miss you dad",positive
2024❤,positive
I can listen to this sound so many times it's beautiful,positive
HI ADELE I LOVE SING,positive
never forget when Adele quietly dropped this song after 3 years of silence and won the hearts of millions again.,positive
What a beautiful woman,positive
"This song and video truly go hand and hand. its one of those rare moments in music, where the video and song mesh so well you get hit hard and you have to take a moment and catch your breath. its very powerful stuff. Much like when Johnny Cash did ""Hurt"" no one ever thought that would work covering a Nine inch Nails let alone be it a country version and that video with that song was very powerful similar vibes. https://youtu.be/8AHCfZTRGiI?si=rRRSiApoo47C85-x",positive
,neutral
Let it go!❤ let's go!,positive
Let it go!❤ let's go!,positive
fuel me,neutral
Ma,neutral
Beautiful  Brit!❤❤🎉,positive
14.04.2024,neutral
Adele i love you am markie,positive
"Typical of a woman who cheats on you with another man, then she has created another distrustful man, I no longer feel love and am afraid to receive it.",negative
This will go down as the greatest song ever written .,positive
Hello from Tyler Tx USA in 2025,neutral
hello,neutral
"People listening in April,2024
👇",neutral
"the singer is great, but you can’t escape the news😀",positive
,neutral
Voice like an angel ❤,positive
"I love these songs very, very much",positive
Here! Brazil!,neutral
April 2k24?,neutral
Hello from the other side,neutral
What the fuc*******,negative
Ahhhhh,negative
Me,neutral
Im here april 2024,neutral
Me,neutral
"She has an incredible voice, it makes your hair stand on end to see her sing like that! a modern luxury!",positive
"Vintage Port
No Calls for me
I suppose",neutral
2015 Here,neutral
This song is just pure nostalgia,positive
Fine Gentleman ❤,positive
One of the most beautiful songs in my years as teenager❤️,positive
anyone 2024?,neutral
Perfect 🇹🇷🇦🇿,positive
Hello 👋👋 I'm here,positive
almost 1M comments :),positive
8 years and ...,neutral
Don't try to hurt yourself if you lose someone continue your life😊,positive
I am from 2024 is there anyone a,neutral
I have hepatitis C,negative
2030 anyone?,neutral
"Good, right?",positive
goodbye,neutral
im here in 2024,neutral
Who’s here on 11th April 2024??,neutral
Hello bro! Nice to meet you.,positive
Prabhas fans assemble here,positive
❤for my father,positive
today after many years I listen and understand this song . just wow,positive
We are here,neutral
,neutral
"Whos here in❤🎉🎉 2024 thu, apr 11",positive
,neutral
FOREVER TIMELESS! LOVE HAZEL CALIFORNIA❤,positive
"Mindy Lee Conn 
You are so loved and missed 
God I miss you",positive
Good  Adele Adele Hello Official Music Video Happy Birthday 2024,positive
"Adel is a beautiful woman and the voice of the maestro makes me cringe when I listen to it, bravo post from Serbia, translate it into English😂🎉🎉🎉",positive
"I stopped listening to songs, but this lady has a golden voice that deserves to be listened to from time to time. She is a respectable personality. Thank you, Adele",positive
,neutral
,neutral
Hi Adele Good afternoon Happy Wednesday I love this song 👌👌👏👏👏👏Have a fabulous day 👋👋👋👋👋,positive
"Fun fact: this wasn't in your recommended, you searched for it.",neutral
2015 - Infinity,positive
Nice,positive
1:17,neutral
,neutral
April 2024,neutral
Who’s here in April 2024? 😊,neutral
Most definitely Any year,positive
"This song is one of my favorite songs in the world, tied with ""See you again"" for number one  !!",positive
I tried to tell her the same thing baby,neutral
Hello from the other side 🎉 another beautiful day to be alive,positive
Who's here in 2024??,neutral
Who’s here in 2026 ?,neutral
I love this song adele,positive
"This so was my favorite, the first time I heard it was I'm on my Lowes point and then hearing this song make me cry. Until now it's still my favorite, it heals me. I love you Adele. ❤",positive
I heard this song from Adele 2 years ago ❤😂🎉,positive
Hello 👋,positive
"In the music video for ""Hello"" by Lionel Richie, the word ""hello"" appears for the first time after 1 minute and 20 seconds. The same timing is found in Adele's song ""Hello."" Coincidence? I think not! Lol",positive
,neutral
We Brazilians have many good voices... but ADELE is a spectacle... immortalized ❤,positive
magical music 😊,positive
Who's here in 2024?????😊,positive
You are so nice. Trick orThin,positive
Hello Adele !!!! Thank you for All and love you all,positive
California dreaming Dream Liner on the ground in fact that matter to you Us,neutral
Timen again!!! See you again!!! 😢😮😅😊😂❤💻🖥📱📲👍🖐✨️🗽..........,positive
Some one from 2024..,neutral
you should know why,neutral
The Queen,neutral
I love!😍😍,positive
"Seungho, let’s go to Hanyang University, dude.",positive
Still here,neutral
Couldn’t afford to subscribe to Spotify or Apple Music,negative
I miss the favorite person who always say hello when she come my House,positive
2024,neutral
Here we are,neutral
I love terry a with all my heart ❤️ n sole thunder buddy's always my loosinda always love u John dilllinger xx,positive
I must have called ten thousand times,positive
Me,neutral
A good song like this doesn't expire,positive
Meeeeeeee,negative
Who is here in 2026?,neutral
Messed up it’s all coming back but slow,negative
I’d love to talk to you in a ton of other people,positive
Thank you for all the wonderful music ma’am heard a song today made me feel loved,positive
,neutral
awesome ❤️❤️❤️❤️,positive
,neutral
Who came here just to compare it to the Winderson Nunes parody? 😂,positive
Me listen this song in 2024,neutral
❤ I  love you Mindy Lee Conn,positive
I'm always and forever and you won't end our species because of your family and trying to take away my life and you are never going to forgiven,negative
Medford Oregon,neutral
Adele answering lionel Richie after many year ❤,positive
,neutral
God she is just stupid beautiful,positive
I'm still listening to this song in 2024,positive
,neutral
"No need to ask…
Everyone alive will be here NEXT YEAR to say HELLO from the other side .",positive
Who is here from 3024,neutral
Me!,neutral
"Who’s here on Total Eclipse day? April 8, 2024 ☀️  🌕",neutral
Hello~,neutral
"Hello adele, where are you know?",neutral
adele whate voice,positive
ly too no hate anymore,positive
"omg adele you are amazing, lots of love from venezuela",positive
Is there anyone coming from 2024 to cry?,neutral
Is there anyone coming from 2024 to cry?,neutral
I don't now if it's because I like womans but Adel looks berry biutyfull.,positive
Mack acting was amazing in this video,positive
𝐌𝐄𝐌𝐎𝐑𝐈𝐄𝐒..,positive
𝐋𝐨𝐯𝐞 𝐭𝐡𝐢𝐬 𝐬𝐨𝐧𝐠,positive
"It is reserved to men once to die, and after this, Judgment.
Hebrews 9:27 LITV

But God commends His love to us in this, that we being yet sinners, Christ died for us. 
Romans 5:8 LITV

For God so loved the world that He gave His only begotten Son, that everyone believing into Him should not perish, but have everlasting life. 
John 3:16 LITV

Repent and be baptized, each of you on the name of Jesus Christ to remission of sins. And you will receive the gift of the Holy Spirit. 
Acts 2:38 LITV

Jesus answered, Truly, truly, I say to you, If one is not generated out of water and Spirit, he is not able to enter into the kingdom of God. 
John 3:5 LITV

For as many as are led by the Spirit of God, these are sons of God. 
Romans 8:14 LITV

The one believing into the Son has everlasting life; but the one disobeying the Son will not see life, but the wrath of God remains on him. 
John 3:36 LITV

Do not be deceived, God is not mocked. For whatever a man may sow, that he also will reap. 
Galatians 6:7 LITV

For if we are willfully sinning after receiving the full knowledge of the truth, there remains no more sacrifice concerning sins,
Hebrews 10:26 LITV

Go in through the narrow gate; for wide is the gate and broad is the way that leads to destruction, and many are the ones entering in through it. For narrow is the gate, and constricted is the way that leads away into life, and few are the ones finding it. 
Matthew 7:13-14 LITV

Eye has not seen, and ear has not heard,"" nor has it risen up into the heart of man, the things which God has prepared for those that love Him. 
1 Corinthians 2:9 LITV",positive
I hope that you are well❤️‍🩹,positive
Good track in all times...!,positive
April 2024 anyone?,positive
Who's here in 2026,neutral
My favourite song 🥹❤,positive
Hello from the other side 👋👋,positive
2:20,neutral
they said time is supposed to heal buh ain't done much healing 🥹,negative
This song will live forever❤,positive
just a same story of us just a different word,neutral
"Ultra-low-cost MV, but one of the top 10 most popular in the world",positive
aaj 7/4/24 ko 8 saal ho gye. I am at the end of my second year in my btech. For the first time i listened this i was in class 8th/9th. 8 years seems a huge number. I wish i had left  a comment back then to see it now. But its never too late.,positive
2024?,neutral
"A song by ADELE BEAUTIFUL, beautiful being, gorgeous wonderful voice.😂❤",positive
