comment,cleaned_comment,sentiment,score
Their brood will not only be ugly and genetically inferior but are more likely to end up in prison with the rest of them.,brood ugly genetically inferior likely end prison rest,NEGATIVE,0.9993391633033752
"""the better adele""",better adele,POSITIVE,0.9965824484825134
This April,april,POSITIVE,0.9973421692848206
Intro too long,intro long,NEGATIVE,0.961297869682312
A legend,legend,POSITIVE,0.9990383386611938
No ones  here.... It's  all a dream.,one dream,POSITIVE,0.9994144439697266
". . . for those who just now understood the word ""move-on"".",understood word moveon,POSITIVE,0.9930325746536255
,,POSITIVE,0.7481208443641663
Will everything pass one day?,everything pas one day,POSITIVE,0.9874444007873535
Is there anyone besides music who understands you?,anyone besides music understands,POSITIVE,0.9970375299453735
Who is there in 2024?,,POSITIVE,0.7481208443641663
"I remember when this song just came out. Autumn, rains, Adele - Hello..
8 years have already passed, 8 years of life have passed unnoticed😢",remember song came autumn rain adele hello year already passed year life passed [UNK],NEGATIVE,0.9740532636642456
Damn I cried so hard singing her songs during my breakup....,damn cried hard singing song breakup,NEGATIVE,0.9941949248313904
Adele ❤ I love you ❤,adele [UNK] love [UNK],POSITIVE,0.9965083003044128
It’s inexplicable how much this woman sings! 👏🏼💭🖊️,’ inexplicable much woman sings [UNK],NEGATIVE,0.8362522125244141
Who is here in 2024,,POSITIVE,0.7481208443641663
Very good!!,good,POSITIVE,0.9998161196708679
Me,,POSITIVE,0.7481208443641663
20.4.2024,,POSITIVE,0.7481208443641663
I’m watching from Russia.❤like.,’ watching [UNK],POSITIVE,0.986650824546814
May 2024 ????? 😭❤️❤️❤️,may [UNK],POSITIVE,0.8763881921768188
"Let's Go To 7 BILLION

Adele    deserve it",let go billion adele deserve,NEGATIVE,0.9914172291755676
Life was so different when this came out..I wish that one day Adele listens to my music and we make a hit song together. God bless everyone going through it like me. Better days are coming....🍀,life different came outi wish one day adele listens music make hit song together god bless everyone going like better day [UNK],POSITIVE,0.9911600947380066
"See
Tuh-tuh
See
See
Tuh-tuh
See
Powerful, Deep, Pure",see tuhtuh see see tuhtuh see powerful deep pure,POSITIVE,0.9981752634048462
wow,wow,POSITIVE,0.999592125415802
The best 😮,best [UNK],POSITIVE,0.9997019171714783
Adele with love from Russia❤,adele love [UNK],POSITIVE,0.9985688924789429
Good song,good song,POSITIVE,0.9998575448989868
2024✌🏻😁,[UNK],NEGATIVE,0.6970567107200623
"It's been 8 years I'm listening this song, I find million voice Queena but no one can replace Adele, hello from the outside🥺",year im listening song find million voice queena one replace adele hello [UNK],POSITIVE,0.9503019452095032
I'm here. 👋 Still listening to all the greats. Adele has a beautiful voice.,im [UNK] still listening great adele beautiful voice,POSITIVE,0.9997997879981995
SIDDONIE MY BIRTHDAY GIRLS📸🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑🔈🔉🔊📢🥳🥳🥳🥳🥳🥳🥳🥳🥳💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💋💋💋💋💋💋💋💋💋💋💋💋💋💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌,siddonie birthday [UNK],POSITIVE,0.9866055846214294
"Sparta, no big deal in hafur ☝️🦾🦍🏴‍☠️🇵🇱",sparta big deal hafur [UNK],NEGATIVE,0.8379716277122498
,,POSITIVE,0.7481208443641663
Lindaaaaaaa❤😅,[UNK],NEGATIVE,0.6970567107200623
❤ If you still here in 2024 you are a legend😊🎉🎉🎉🎉🎉,[UNK] still [UNK],NEGATIVE,0.9282659888267517
Who types “Hello” to check internet is working or not ? And then land on this video?,type “ hello ” check internet working land video,NEGATIVE,0.9851421117782593
Kindly sasaki,kindly sasaki,POSITIVE,0.9931683540344238
"Hello from the other side... 
Atleast i can say that i've tried! ♪",hello side atleast say ive tried [UNK],NEGATIVE,0.8584249019622803
Anyone 2025? 😂,anyone [UNK],POSITIVE,0.8704387545585632
It's me,,POSITIVE,0.7481208443641663
https://youtu.be/U0Ss9g1FMsY?si=BjHcAEKaGqYVH3Hb,,POSITIVE,0.7481208443641663
best song ever without even listening to it,best song ever without even listening,POSITIVE,0.9997434020042419
April 2024 who's here with me 😂🌹🥳😂❤❤❤,april who [UNK],NEGATIVE,0.9292909502983093
wow verry nice song,wow verry nice song,POSITIVE,0.9998447895050049
I cried...,cried,NEGATIVE,0.9925608038902283
Love you,love,POSITIVE,0.9998735189437866
I love you adele❤,love [UNK],POSITIVE,0.9997313618659973
,,POSITIVE,0.7481208443641663
ADEL FROM MY MOVIE  ORSEN WELLS,adel movie orsen well,POSITIVE,0.9965804219245911
16 YRS HELLO FROM THE OTHERSIDE JEWS GOVERNMENTS,yr hello otherside jew government,NEGATIVE,0.9555052518844604
Sister-in-law ❤😍,sisterinlaw [UNK],NEGATIVE,0.6161168813705444
"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝",came homeless drug jail house job husband song “ clover cage moment ” two song helped get rid depression want send love everyone want everyone know thing get better togetheri love [UNK],POSITIVE,0.8991431593894958
"2015: try not to sing
2024: try not to cry",try sing try cry,NEGATIVE,0.9966111779212952
bro just start singing,bro start singing,POSITIVE,0.9961971044540405
Who else but me 2025??😉😅,else [UNK],NEGATIVE,0.9139803051948547
Tbt to when this music video dropped and I legit fell in love with Adele and her voice for a bit,tbt music video dropped legit fell love adele voice bit,NEGATIVE,0.9952988028526306
I love you Adel,love adel,POSITIVE,0.9998278617858887
Consecrated Winderson Nunes forever☺☺,consecrated winderson nunes [UNK],NEGATIVE,0.7549561262130737
,,POSITIVE,0.7481208443641663
Hello,hello,POSITIVE,0.9995185136795044
Who’s here on April 18th 2024??,’ april th,POSITIVE,0.984084963798523
"I will be married on April 18, 2024 ❤❤",married april [UNK],POSITIVE,0.9852516651153564
Sarah for kitchen,sarah kitchen,POSITIVE,0.9054316878318787
jungka on his left side for motor & macho dancer,jungka left side motor macho dancer,NEGATIVE,0.9787073135375977
the virgin,virgin,NEGATIVE,0.7838611602783203
love,love,POSITIVE,0.9998735189437866
"What  !!         Billion viewers


Can't believe that 😂",billion viewer cant believe [UNK],POSITIVE,0.8285132646560669
Attendance April 2024,attendance april,POSITIVE,0.9973813891410828
9433 am still here waiting for you.am still stuck in the old town never managed to get out.if you ever come visiting don't forget about me,still waiting youam still stuck old town never managed get outif ever come visiting dont forget,NEGATIVE,0.9952707886695862
Who’s here in April 2024????,’ april,POSITIVE,0.9943214654922485
"I listen to and love many different genres and time periods. Don't completely shun or disregard music just because it's popular or mainstream. I remember the first time I heard rolling in the deep and loved it instantly. Her voice is incredible. Usually I don't listen to much mainstream pop but am no longer embarrassed to admit I like a song. This and her breakout hit are my favorite. Amazing, powerful voice. Emotions that are brought up are relatable. One of my favorite things about her is that there is no denying her talent even though she doesn't look like Beyonce. They had no choice but to let her be her.",listen love many different genre time period dont completely shun disregard music popular mainstream remember first time heard rolling deep loved instantly voice incredible usually dont listen much mainstream pop longer embarrassed admit like song breakout hit favorite amazing powerful voice emotion brought relatable one favorite thing denying talent even though doesnt look like beyonce choice let,POSITIVE,0.8230495452880859
More Adele,adele,POSITIVE,0.9950966238975525
Adele is a true mud shark,adele true mud shark,NEGATIVE,0.9640601873397827
"Who is also here in 2024? 
Also who just remembered this song and wanted to hear it again 😢",also also remembered song wanted hear [UNK],POSITIVE,0.9978426694869995
"...of family RIP❤....
DNH do get hold of me!.... Answer your question no I am not okay 😭",family [UNK] dnh get hold answer question okay [UNK],POSITIVE,0.6200941801071167
Who’s here in 2024 me,’,POSITIVE,0.9309634566307068
nostalgia is a powerful drug.,nostalgia powerful drug,POSITIVE,0.9982461929321289
2024 we deh deh,deh deh,POSITIVE,0.9077049493789673
"Fuuuuu*k 8 years 
Time is going extremely  fast",fuuuuuk year time going extremely fast,POSITIVE,0.9693787097930908
17 th April?,th april,POSITIVE,0.8883907794952393
,,POSITIVE,0.7481208443641663
April 2024 ❤❤❤,april [UNK],POSITIVE,0.9454053044319153
"The choices are NOT always easy, I have to make decisions and sometimes it even hurts, it allows me to move forward with good thinking",choice always easy make decision sometimes even hurt allows move forward good thinking,POSITIVE,0.9929735660552979
Have we all made mistakes? And sometimes hard to bear?? I'm here life continues let's learn from our mistakes To move forward (this is my motto good evening everyone) and good reflection,made mistake sometimes hard bear im life continues let learn mistake move forward motto good evening everyone good reflection,POSITIVE,0.9946848750114441
"Listening at April 18th❤❤

You??? ❤",listening april [UNK] [UNK],POSITIVE,0.9846658706665039
I can't get enough of listening to this song,cant get enough listening song,NEGATIVE,0.8553667068481445
Am here and I will be here forever 💗,forever [UNK],POSITIVE,0.9983872175216675
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",hello wondering year youd like meet go everything say time supposed heal ya aint done much healing hello hear im california dreaming used younger free ive forgotten felt world fell foot there difference u million mile hello side mustve called thousand time tell im sorry everything ive done call never seem home hello outside least say ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore hello typical talk im sorry hope youre well ever make town nothing ever happened secret u running time hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore ooh low low low low anymore high high high high ooh low low low low anymore high high high high ooh low low low low anymore high high high high anymore low low low low hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore,NEGATIVE,0.9970634579658508
Idk why somebody ask who is here in 2024. Everybody are hereeee,idk somebody ask everybody hereeee,NEGATIVE,0.9844525456428528
,,POSITIVE,0.7481208443641663
"Wheres this little half black half white baby between you two ?

Then it's not real.",wheres little half black half white baby two real,NEGATIVE,0.9940875768661499
"This song, fans, reminds me of a person looking at me, me at him, me sitting in a chair, I will never forget our looks ❤❤",song fan reminds person looking sitting chair never forget look [UNK],POSITIVE,0.9949859380722046
"Hi godmother, you're in a good truck ❤",hi godmother youre good truck [UNK],POSITIVE,0.99854576587677
March 2024.,march,POSITIVE,0.9974080920219421
March 2024.,march,POSITIVE,0.9974080920219421
Hits different when you’ve always known this song but now you’re on the other side and can relate to every lyric,hit different ’ always known song ’ side relate every lyric,POSITIVE,0.9959415793418884
There's an intro.,there intro,POSITIVE,0.9387260675430298
I can see my younger self when I'm listening to this masterpiece which is her intended meaning given to this songgg 🙂💖🤍💎,see younger self im listening masterpiece intended meaning given songgg [UNK],POSITIVE,0.729020357131958
Who is here in 2025?,,POSITIVE,0.7481208443641663
You make me feel,make feel,POSITIVE,0.9996452331542969
I’m a hardened man but yet I luv your music your amazing,’ hardened man yet luv music amazing,POSITIVE,0.9997982382774353
"Where are the Brazilian comments, what do you mean Brazil...?",brazilian comment mean brazil,NEGATIVE,0.9800942540168762
Ckcfw1,ckcfw,NEGATIVE,0.8110387921333313
"Great singer, very attractive all around!! ""Hello from the other side""",great singer attractive around hello side,POSITIVE,0.9997422099113464
April 2024,april,POSITIVE,0.9973421692848206
"Mindy Lee Conn was my  ride or die
Not that anyone else noticed",mindy lee conn ride die anyone else noticed,NEGATIVE,0.9576472640037537
Then & now... aún alive @in't such Golden House...outside,aun alive golden houseoutside,POSITIVE,0.9728936553001404
Woody is.,woody,POSITIVE,0.9992175102233887
"... sorry, can you hear me Now!!!",sorry hear,NEGATIVE,0.9995279312133789
Best song forever❤,best song [UNK],POSITIVE,0.9998000264167786
"April 2024, anyone?",april anyone,POSITIVE,0.958509087562561
ADELE.✨NO 1 Diva✨😁👍✨,[UNK] [UNK],NEGATIVE,0.7850592732429504
ADELE SINGER THE BEST VOICE UNSURPASSED SINGER ❤J-FLA,adele singer best voice unsurpassed singer [UNK],POSITIVE,0.9966652989387512
But a smart phone is better,smart phone better,POSITIVE,0.9918140172958374
That flip phone reminds me of a blue razor phone I never had,flip phone reminds blue razor phone never,NEGATIVE,0.9829502105712891
Am I the only one who's still here in 2024?,one who still,POSITIVE,0.9958237409591675
"LYRICS🎤

Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side

I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)

Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",[UNK] hello wondering year youd like meet go everything say time supposed heal ya aint done much healing hello hear im california dreaming used younger free ive forgotten felt world fell foot there difference u million mile hello side mustve called thousand time tell im sorry everything ive done call never seem home hello outside least say ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore hello typical talk im sorry hope youre well ever make town nothing ever happened secret u running time hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore ooh low low low low anymore high high high high ooh low low low low anymore high high high high ooh low low low low anymore high high high high anymore low low low low hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore,NEGATIVE,0.9972149133682251
"But it clearly does not take you apart anymore, so bye.",clearly take apart anymore bye,POSITIVE,0.9987475872039795
,,POSITIVE,0.7481208443641663
"There was once a Roman Empire. It was captured by the Visigoths. It was divided into Israel, Italy, Denmark, Iceland and some Germans. Israel lied about God and Satan. Hitler wanted to take back Rome. It’s just that no one has compared Israel and Italy before.",roman empire captured visigoth divided israel italy denmark iceland german israel lied god satan hitler wanted take back rome ’ one compared israel italy,NEGATIVE,0.9376895427703857
"I used to be a real fan but after this masterpiece, I’m a whole air conditioner.",used real fan masterpiece ’ whole air conditioner,POSITIVE,0.9963943362236023
Views from a window awesome thanks,view window awesome thanks,POSITIVE,0.9998574256896973
"In the year 2024, it's still TOP lol, diva, I've never gone out of style!!!",year still top lol diva ive never gone style,POSITIVE,0.9986653327941895
Who is here still feel the vibe in 15 April 2024,still feel vibe april,POSITIVE,0.9989519119262695
Too much show. ❤,much show [UNK],POSITIVE,0.9862070083618164
,,POSITIVE,0.7481208443641663
2024🎉,[UNK],NEGATIVE,0.6970567107200623
3:18 3:20 🎉😢😅😊,[UNK],NEGATIVE,0.6970567107200623
Can you hear me now?!,hear,POSITIVE,0.9987009763717651
Hi,hi,POSITIVE,0.9983267188072205
❤❤❤❤ when i 😢😢😢😢😢was a kid,[UNK] [UNK] kid,POSITIVE,0.6665146350860596
"Thank you, thank you, Miss ❤Miss Adele ❤ We will save and watch it together forever hahahahahaha 🌇",thank thank miss [UNK] adele [UNK] save watch together forever hahahahahaha [UNK],POSITIVE,0.9993014335632324
I Song until my throat explode won't let go of my microphone 🎤🎼🔊~~~%  Even if I fail down God protecting you J-FLA I appreciate 🙏 Always thinking we God bless 🙏 ❤,song throat explode wont let go microphone [UNK] even fail god protecting jfla appreciate [UNK] always thinking god bless [UNK] [UNK],POSITIVE,0.6159489750862122
"Look at this, I'm in a daze because of you. Please think about it 🙏 🍎🍎🍎 Miss Adele, please stay healthy. Okay.",look im daze please think [UNK] [UNK] miss adele please stay healthy okay,POSITIVE,0.5061666369438171
Hi 👋 I can not bear to lose you ❤,hi [UNK] bear lose [UNK],NEGATIVE,0.986672043800354
Present,present,POSITIVE,0.9986705780029297
i miss this era,miss era,NEGATIVE,0.997352123260498
"Hi,tanks my dear. ❤.Iran.",hitanks dear [UNK],POSITIVE,0.9850032925605774
s,,POSITIVE,0.7481208443641663
I am great song,great song,POSITIVE,0.9998729228973389
My girl 😊,girl [UNK],POSITIVE,0.8187900185585022
I'm here in 2024,im,POSITIVE,0.7430374026298523
I was 14 when this was released 🥹,released,POSITIVE,0.9970769882202148
2025 👀😂,[UNK],NEGATIVE,0.6970567107200623
Reva hello there,reva hello,POSITIVE,0.9960083961486816
Listeners Adele song in April 2024?,listener adele song april,POSITIVE,0.9587220549583435
You will find true love in 2024,find true love,POSITIVE,0.9998452663421631
2024❤,[UNK],NEGATIVE,0.6970567107200623
Thank you Adele 💖,thank adele [UNK],POSITIVE,0.999591052532196
I’m here after finding out this was the fastest video to reach a billion views.,’ finding fastest video reach billion view,POSITIVE,0.9237725138664246
"She is amazing in this video. everything..her face, act, outfit...but just one thing, the man who is acting her ex isn't a good match with her. I'm not a racist, though.",amazing video everythingher face act outfitbut one thing man acting ex isnt good match im racist though,POSITIVE,0.9880824089050293
"Adelle: hello
Beyonce: Halo
Both are just the best❤",adelle hello beyonce halo [UNK],POSITIVE,0.9928072690963745
The earth is flat,earth flat,NEGATIVE,0.9997734427452087
Who in 2025 ?,,POSITIVE,0.7481208443641663
Ohhh yeaa its 15.04.24,ohhh yeaa,NEGATIVE,0.8559165000915527
I'm trying to keep my mouth shut😮,im trying keep mouth [UNK],NEGATIVE,0.9962218999862671
If we run this fight over a million times I bet you I win every time so just please stop talking,run fight million time bet win every time please stop talking,NEGATIVE,0.9964380264282227
