Comment #,Comment
87,"Sparta, no big deal in hafur ☝️🦾🦍🏴‍☠️🇵🇱"
88,
89,Lindaaaaaaa❤😅
90,❤ If you still here in 2024 you are a legend😊🎉🎉🎉🎉🎉
91,Who types “Hello” to check internet is working or not ? And then land on this video?
92,Kindly sasaki
93,"Hello from the other side... 
Atleast i can say that i've tried! ♪"
94,Anyone 2025? 😂
95,It's me
96,https://youtu.be/U0Ss9g1FMsY?si=BjHcAEKaGqYVH3Hb
97,best song ever without even listening to it
98,April 2024 who's here with me 😂🌹🥳😂❤❤❤
99,wow verry nice song
100,I cried...
101,Love you
102,I love you adele❤
103,
104,ADEL FROM MY MOVIE  ORSEN WELLS
105,16 YRS HELLO FROM THE OTHERSIDE JEWS GOVERNMENTS
106,Sister-in-law ❤😍
107,"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝"
108,"2015: try not to sing
2024: try not to cry"
109,bro just start singing
110,Who else but me 2025??😉😅
111,Tbt to when this music video dropped and I legit fell in love with Adele and her voice for a bit
112,I love you Adel
113,Consecrated Winderson Nunes forever☺☺
114,
115,Hello
116,Who’s here on April 18th 2024??
117,"I will be married on April 18, 2024 ❤❤"
118,Sarah for kitchen
119,jungka on his left side for motor & macho dancer
120,the virgin
121,love
122,"What  !!         Billion viewers


Can't believe that 😂"
123,Attendance April 2024
124,9433 am still here waiting for you.am still stuck in the old town never managed to get out.if you ever come visiting don't forget about me
125,Who’s here in April 2024????
126,"I listen to and love many different genres and time periods. Don't completely shun or disregard music just because it's popular or mainstream. I remember the first time I heard rolling in the deep and loved it instantly. Her voice is incredible. Usually I don't listen to much mainstream pop but am no longer embarrassed to admit I like a song. This and her breakout hit are my favorite. Amazing, powerful voice. Emotions that are brought up are relatable. One of my favorite things about her is that there is no denying her talent even though she doesn't look like Beyonce. They had no choice but to let her be her."
127,More Adele
128,Adele is a true mud shark
129,"Who is also here in 2024? 
Also who just remembered this song and wanted to hear it again 😢"
130,"...of family RIP❤....
DNH do get hold of me!.... Answer your question no I am not okay 😭"
131,Who’s here in 2024 me
132,nostalgia is a powerful drug.
133,2024 we deh deh
134,"Fuuuuu*k 8 years 
Time is going extremely  fast"
135,17 th April?
136,
137,April 2024 ❤❤❤
138,"The choices are NOT always easy, I have to make decisions and sometimes it even hurts, it allows me to move forward with good thinking"
139,Have we all made mistakes? And sometimes hard to bear?? I'm here life continues let's learn from our mistakes To move forward (this is my motto good evening everyone) and good reflection
140,"Listening at April 18th❤❤

You??? ❤"
141,I can't get enough of listening to this song
142,Am here and I will be here forever 💗
143,"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
144,Idk why somebody ask who is here in 2024. Everybody are hereeee
145,
146,"Wheres this little half black half white baby between you two ?

Then it's not real."
147,"This song, fans, reminds me of a person looking at me, me at him, me sitting in a chair, I will never forget our looks ❤❤"
148,"Hi godmother, you're in a good truck ❤"
149,March 2024.
150,March 2024.
151,Hits different when you’ve always known this song but now you’re on the other side and can relate to every lyric
152,There's an intro.
153,I can see my younger self when I'm listening to this masterpiece which is her intended meaning given to this songgg 🙂💖🤍💎
154,Who is here in 2025?
155,You make me feel
156,I’m a hardened man but yet I luv your music your amazing
157,"Where are the Brazilian comments, what do you mean Brazil...?"
158,Ckcfw1
159,"Great singer, very attractive all around!! ""Hello from the other side"""
160,April 2024
161,"Mindy Lee Conn was my  ride or die
Not that anyone else noticed"
162,Then & now... aún alive @in't such Golden House...outside
163,Woody is.
164,"... sorry, can you hear me Now!!!"
165,Best song forever❤
166,"April 2024, anyone?"
167,ADELE.✨NO 1 Diva✨😁👍✨
168,ADELE SINGER THE BEST VOICE UNSURPASSED SINGER ❤J-FLA
169,But a smart phone is better
170,That flip phone reminds me of a blue razor phone I never had
171,Am I the only one who's still here in 2024?
172,"LYRICS🎤

Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side

I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)

Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
173,"But it clearly does not take you apart anymore, so bye."
174,
175,"There was once a Roman Empire. It was captured by the Visigoths. It was divided into Israel, Italy, Denmark, Iceland and some Germans. Israel lied about God and Satan. Hitler wanted to take back Rome. It’s just that no one has compared Israel and Italy before."
176,"I used to be a real fan but after this masterpiece, I’m a whole air conditioner."
177,Views from a window awesome thanks
178,"In the year 2024, it's still TOP lol, diva, I've never gone out of style!!!"
179,Who is here still feel the vibe in 15 April 2024
180,Too much show. ❤
181,
182,2024🎉
183,3:18 3:20 🎉😢😅😊
184,Can you hear me now?!
185,Hi
186,❤❤❤❤ when i 😢😢😢😢😢was a kid
187,"Thank you, thank you, Miss ❤Miss Adele ❤ We will save and watch it together forever hahahahahaha 🌇"
188,I Song until my throat explode won't let go of my microphone 🎤🎼🔊~~~%  Even if I fail down God protecting you J-FLA I appreciate 🙏 Always thinking we God bless 🙏 ❤
189,"Look at this, I'm in a daze because of you. Please think about it 🙏 🍎🍎🍎 Miss Adele, please stay healthy. Okay."
190,Hi 👋 I can not bear to lose you ❤
191,Present
192,i miss this era
193,"Hi,tanks my dear. ❤.Iran."
194,s
195,I am great song
196,My girl 😊
197,I'm here in 2024
198,I was 14 when this was released 🥹
199,2025 👀😂
200,Reva hello there
201,Listeners Adele song in April 2024?
202,You will find true love in 2024
203,2024❤
204,Thank you Adele 💖
205,I’m here after finding out this was the fastest video to reach a billion views.
206,"She is amazing in this video. everything..her face, act, outfit...but just one thing, the man who is acting her ex isn't a good match with her. I'm not a racist, though."
207,"Adelle: hello
Beyonce: Halo
Both are just the best❤"
208,The earth is flat
209,Who in 2025 ?
210,Ohhh yeaa its 15.04.24
211,I'm trying to keep my mouth shut😮
212,If we run this fight over a million times I bet you I win every time so just please stop talking
213,If there's something you need to say say it if not shut your fucking lid
214,"The lyrics include beautiful, powerful vocals that give you goosebumps every time you listen to them"
215,Anyone 2024
216,Hello can you here me it's Ben here April 2024
217,She's BACK😢
218,"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
219,"12:58PM MON,Apr 15 2024"
220,Satan's flute singing in the earth    ❤❤❤  be cerfull .
221,Anyone listening in 2024?
222,Parabens❤
223,I LOVEE ADELEEEEE
224,HELLO =❤
225,Love her! She's r a real amazing woman!
226,"SALU2 ALEDE, I LIKE YOUR GOOD VOICE,, SALU2 FROM THE BRONX, MEXICAN TO THE 💯,, GOD bless you always...."
227,This song is very cool
228,💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯👌👏👏👏👏👏👏 listening in 2024
229,Who else randomly searched up hello and got this?
230,"I heard it when I was about 17 years old ❤. Now I'm 24, it makes me feel a lump in my throat, I love this song like a sunset"
231,so good
232,"I didn't understand, does she lisp or not? Well, her voice sounds like it"
233,His voice is not a sound
234,its been 8 yeas now...
235,her best song
236,"Nekskwone s❤❤ndmskskkesk🎉🎉🎉nndjdkkdkkkdks
Mdmekme skkdkenskmekneekjjdjjeijebjdkeke njekdkkek
Mdmd..,,"
237,The Memes
238,It's a good song
239,And a beautiful country girl to go hide on the top floor of the barn and umm 🤔😳
240,That house makes me want to eat a meal like Twister 🌀 at Meg's house Giant steak 🥩 homemade mashed potatoes 🥔 chunky style with lots of gravy 🤤
241,love
242,love
243,
244,Plz stop asking who is listening this year. We never stop listening to classics
245,Its me 😢
246,It's one of the best songs
247,"April 2024, who is visiting?? 😂😂❤"
248,Anyone 2024?
249,Masterpiece ❤💫
250,"It's 2025
Who's here?!"
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,My favorite singer ❤ greetings from Mexico 🇲🇽🌽🌮🎉🎉🎉
266,Why Adele crossed the road ❤️
267,Checking in another med procedure (self help) 😢
268,
269,the best
270,I thought I was just on Google saying hello
271,This song pierces the heart ❤️ 🎉🎉🎉
272,Who's here in 2025?
273,https://www.youtube.com/channel/UCXV5-3bVjIDy0cdRk6GI4BA
274,There is so much I’ve learned about in this world and it’s so hard and so sad! But I’m not going anywhere without a good reason to be happy with it all and I’m just so thankful to you all for your support for this whole process of healing me to know that I am in my life and I was blessed and born in the United States of America!!!
275,I believe in Freedom of speech and the Constitution of America as well! Civil rights are a fundamental right of freedom and liberty for everyone!
276,But come on with it I’m not hiding anymore!
277,I didn’t know this! I’ve been hidden away for years now! Death threats
278,Of course Eve Sheppeard has been the most successful woman in history for her own right to vote for a president since the beginning
279,A masterpiece
280,Hello it me 🫣😦
281,"i know this is isnt the one but cmon its adeles top song so ima need u ppl to show some love. cause
Your right Mahito, im you."
282,Hello
283,This song is the besssssssst
284,"Who is from Surabaya, Indonesia."
285,Fastest billion views in the world😮
286,
287,"Lovely song still in 2024 
Thanks #Elliott_Lockwood
Whenever anyone likes this comment i will remember this Masterpiece and the suggestion of my friend. 🥰"
288,That woman is a song bird frl
289,Hello It's me
290,I came here to subscribe
291,True
292,"You are so loved mom
I miss you dad"
293,2024❤
294,I can listen to this sound so many times it's beautiful
295,HI ADELE I LOVE SING
296,never forget when Adele quietly dropped this song after 3 years of silence and won the hearts of millions again.
297,What a beautiful woman
298,"This song and video truly go hand and hand. its one of those rare moments in music, where the video and song mesh so well you get hit hard and you have to take a moment and catch your breath. its very powerful stuff. Much like when Johnny Cash did ""Hurt"" no one ever thought that would work covering a Nine inch Nails let alone be it a country version and that video with that song was very powerful similar vibes. https://youtu.be/8AHCfZTRGiI?si=rRRSiApoo47C85-x"
299,
300,Let it go!❤ let's go!
301,Let it go!❤ let's go!
302,fuel me
303,Ma
304,Beautiful  Brit!❤❤🎉
305,14.04.2024
306,Adele i love you am markie
307,"Typical of a woman who cheats on you with another man, then she has created another distrustful man, I no longer feel love and am afraid to receive it."
308,This will go down as the greatest song ever written .
309,Hello from Tyler Tx USA in 2025
310,hello
311,"People listening in April,2024
👇"
312,"the singer is great, but you can’t escape the news😀"
313,
314,Voice like an angel ❤
315,"I love these songs very, very much"
316,Here! Brazil!
317,April 2k24?
318,Hello from the other side
319,What the fuc*******
320,Ahhhhh
321,Me
322,Im here april 2024
323,Me
324,"She has an incredible voice, it makes your hair stand on end to see her sing like that! a modern luxury!"
325,"Vintage Port
No Calls for me
I suppose"
326,2015 Here
327,This song is just pure nostalgia
328,Fine Gentleman ❤
329,One of the most beautiful songs in my years as teenager❤️
330,anyone 2024?
331,Perfect 🇹🇷🇦🇿
332,Hello 👋👋 I'm here
333,almost 1M comments :)
334,8 years and ...
335,Don't try to hurt yourself if you lose someone continue your life😊
336,I am from 2024 is there anyone a
337,I have hepatitis C
338,2030 anyone?
339,"Good, right?"
340,goodbye
341,im here in 2024
342,Who’s here on 11th April 2024??
343,Hello bro! Nice to meet you.
344,Prabhas fans assemble here
345,❤for my father
346,today after many years I listen and understand this song . just wow
347,We are here
348,
349,"Whos here in❤🎉🎉 2024 thu, apr 11"
350,
351,FOREVER TIMELESS! LOVE HAZEL CALIFORNIA❤
352,"Mindy Lee Conn 
You are so loved and missed 
God I miss you"
353,Good  Adele Adele Hello Official Music Video Happy Birthday 2024
354,"Adel is a beautiful woman and the voice of the maestro makes me cringe when I listen to it, bravo post from Serbia, translate it into English😂🎉🎉🎉"
355,"I stopped listening to songs, but this lady has a golden voice that deserves to be listened to from time to time. She is a respectable personality. Thank you, Adele"
356,
357,
358,Hi Adele Good afternoon Happy Wednesday I love this song 👌👌👏👏👏👏Have a fabulous day 👋👋👋👋👋
359,"Fun fact: this wasn't in your recommended, you searched for it."
360,2015 - Infinity
361,Nice
362,1:17
363,
364,April 2024
365,Who’s here in April 2024? 😊
366,Most definitely Any year
367,"This song is one of my favorite songs in the world, tied with ""See you again"" for number one  !!"
368,I tried to tell her the same thing baby
369,Hello from the other side 🎉 another beautiful day to be alive
370,Who's here in 2024??
371,Who’s here in 2026 ?
372,I love this song adele
373,"This so was my favorite, the first time I heard it was I'm on my Lowes point and then hearing this song make me cry. Until now it's still my favorite, it heals me. I love you Adele. ❤"
374,I heard this song from Adele 2 years ago ❤😂🎉
375,Hello 👋
376,"In the music video for ""Hello"" by Lionel Richie, the word ""hello"" appears for the first time after 1 minute and 20 seconds. The same timing is found in Adele's song ""Hello."" Coincidence? I think not! Lol"
377,
378,We Brazilians have many good voices... but ADELE is a spectacle... immortalized ❤
379,magical music 😊
380,Who's here in 2024?????😊
381,You are so nice. Trick orThin
382,Hello Adele !!!! Thank you for All and love you all
383,California dreaming Dream Liner on the ground in fact that matter to you Us
384,Timen again!!! See you again!!! 😢😮😅😊😂❤💻🖥📱📲👍🖐✨️🗽..........
385,Some one from 2024..
386,you should know why
387,The Queen
388,I love!😍😍
389,"Seungho, let’s go to Hanyang University, dude."
390,Still here
391,Couldn’t afford to subscribe to Spotify or Apple Music
392,I miss the favorite person who always say hello when she come my House
393,2024
394,Here we are
395,I love terry a with all my heart ❤️ n sole thunder buddy's always my loosinda always love u John dilllinger xx
396,I must have called ten thousand times
397,Me
398,A good song like this doesn't expire
399,Meeeeeeee
400,Who is here in 2026?
401,Messed up it’s all coming back but slow
402,I’d love to talk to you in a ton of other people
403,Thank you for all the wonderful music ma’am heard a song today made me feel loved
404,
405,awesome ❤️❤️❤️❤️
406,
407,Who came here just to compare it to the Winderson Nunes parody? 😂
408,Me listen this song in 2024
409,❤ I  love you Mindy Lee Conn
410,I'm always and forever and you won't end our species because of your family and trying to take away my life and you are never going to forgiven
411,Medford Oregon
412,Adele answering lionel Richie after many year ❤
413,
414,God she is just stupid beautiful
415,I'm still listening to this song in 2024
416,
417,"No need to ask…
Everyone alive will be here NEXT YEAR to say HELLO from the other side ."
418,Who is here from 3024
419,Me!
420,"Who’s here on Total Eclipse day? April 8, 2024 ☀️  🌕"
421,Hello~
422,"Hello adele, where are you know?"
423,adele whate voice
424,ly too no hate anymore
425,"omg adele you are amazing, lots of love from venezuela"
426,Is there anyone coming from 2024 to cry?
427,Is there anyone coming from 2024 to cry?
428,I don't now if it's because I like womans but Adel looks berry biutyfull.
429,Mack acting was amazing in this video
430,𝐌𝐄𝐌𝐎𝐑𝐈𝐄𝐒..
431,𝐋𝐨𝐯𝐞 𝐭𝐡𝐢𝐬 𝐬𝐨𝐧𝐠
432,"It is reserved to men once to die, and after this, Judgment.
Hebrews 9:27 LITV

But God commends His love to us in this, that we being yet sinners, Christ died for us. 
Romans 5:8 LITV

For God so loved the world that He gave His only begotten Son, that everyone believing into Him should not perish, but have everlasting life. 
John 3:16 LITV

Repent and be baptized, each of you on the name of Jesus Christ to remission of sins. And you will receive the gift of the Holy Spirit. 
Acts 2:38 LITV

Jesus answered, Truly, truly, I say to you, If one is not generated out of water and Spirit, he is not able to enter into the kingdom of God. 
John 3:5 LITV

For as many as are led by the Spirit of God, these are sons of God. 
Romans 8:14 LITV

The one believing into the Son has everlasting life; but the one disobeying the Son will not see life, but the wrath of God remains on him. 
John 3:36 LITV

Do not be deceived, God is not mocked. For whatever a man may sow, that he also will reap. 
Galatians 6:7 LITV

For if we are willfully sinning after receiving the full knowledge of the truth, there remains no more sacrifice concerning sins,
Hebrews 10:26 LITV

Go in through the narrow gate; for wide is the gate and broad is the way that leads to destruction, and many are the ones entering in through it. For narrow is the gate, and constricted is the way that leads away into life, and few are the ones finding it. 
Matthew 7:13-14 LITV

Eye has not seen, and ear has not heard,"" nor has it risen up into the heart of man, the things which God has prepared for those that love Him. 
1 Corinthians 2:9 LITV"
433,I hope that you are well❤️‍🩹
434,Good track in all times...!
435,April 2024 anyone?
436,Who's here in 2026
437,My favourite song 🥹❤
438,Hello from the other side 👋👋
439,2:20
440,they said time is supposed to heal buh ain't done much healing 🥹
441,This song will live forever❤
442,just a same story of us just a different word
443,"Ultra-low-cost MV, but one of the top 10 most popular in the world"
444,aaj 7/4/24 ko 8 saal ho gye. I am at the end of my second year in my btech. For the first time i listened this i was in class 8th/9th. 8 years seems a huge number. I wish i had left  a comment back then to see it now. But its never too late.
445,2024?
446,"A song by ADELE BEAUTIFUL, beautiful being, gorgeous wonderful voice.😂❤"
447,
448,
449,i want in love  here
450,Adele RedHazard VS Celine Dion
451,Commenting here before it gets turned into a meme
452,
453,4:57
454,"Anyone April 6,2024"
455,2:22
456,Hello how are you  team 2024❤
457,"Both singing and talking, Adele has an amazing voice. I didn’t even know she played the drums for this song. 😁😁😁💙💙💙💙💜💜💜💜"
458,"I watched a girl on the street sing this and to me she was every bit as good as Adele. It got me thinking, this girl should be singing every day instead of grinding away at some corporation for peanuts. Anyway, great tune."
459,4-6-2024
460,"Anyone else searched up ""hello"" because they were bored?"
461,Plankton sung it better
462,2024 ❤
463,No words. ❤
464,Is like woran feel
465,Hello from Türkiye
466,It's me KHURAM lost my smile
467,Here 2025
468,Return to RIGHTEOUSNESS
469,2024🇧🇷
470,This song touches heart and soul... Adele you're the best❤️
471,"Another single mom, I wonder why?. Nice song."
472,I'm here April 2024... God knows ❤️🖤
473,"Its April 2024, let's see how many legends are listening to this incredible song
👇"
474,Who here in 2025?
475,"I hate you, why why 😢😢😢but why, you are the best in the world"
476,Hello to everyone whose watching this in the year 2024
